2026-09-24T16:34:47Z	suggest	$0.0186	adhd timer
2026-09-24T16:34:48Z	suggest	$0.0228	noise for adhd
2026-09-24T16:35:16Z	volume_us	$0.0900	72 ключей
2026-09-24T16:36:14Z	serp	$0.0020	adhd timer
2026-09-24T16:36:19Z	serp	$0.0020	brown noise for adhd
2026-09-24T16:43:27Z	serp	$0.0020	adhd music
2026-09-24T18:19:23Z	serp	$0.0020	minimalist timer
2026-09-24T19:38:56Z	serp	$0.0020	timer for adhd
2026-09-24T19:39:06Z	serp	$0.0020	visual timer adhd
2026-09-24T19:39:09Z	serp	$0.0020	pomodoro timer for adhd
2026-09-24T19:44:44Z	related	$0.0146	adhd timer
2026-09-24T19:44:44Z	related	$0.0143	adhd focus
2026-09-24T19:44:45Z	suggest	$0.0240	adhd focus
2026-09-24T19:44:45Z	suggest	$0.0240	focus timer
2026-09-24T19:46:43Z	serp	$0.0020	focus timer
2026-09-24T19:58:19Z	serp	$0.0020	adhd focus
2026-09-24T20:24:30Z	serp	$0.0020	brown noise
2026-09-24T20:24:37Z	serp	$0.0020	brown noise generator
2026-09-24T20:25:20Z	serp	$0.0020	brown noise no ads
2026-09-24T20:25:29Z	serp	$0.0020	white noise generator
2026-09-24T20:27:07Z	serp	$0.0020	adhd focus music
2026-09-24T20:27:07Z	intent	$0.0134	12 ключей
2026-09-24T20:32:03Z	instrument	$0.0900	91 ключей
2026-09-24T20:32:09Z	serp	$0.0020	noise generator
2026-09-24T20:32:32Z	ranked	$0.0360	brain.fm
2026-09-24T20:32:36Z	ranked	$0.0360	endel.io
2026-09-25T15:08:22Z	serp	$0.0020	white noise machine
2026-09-25T15:08:26Z	serp	$0.0020	noise app
2026-09-25T15:08:36Z	serp	$0.0020	sound machine
2026-09-25T15:08:40Z	serp	$0.0020	noise maker
2026-09-25T15:09:14Z	serp	$0.0020	brown noise machine
2026-09-25T15:09:18Z	serp	$0.0020	adhd body double
2026-09-25T15:09:24Z	serp	$0.0020	adhd helper
2026-09-25T15:09:28Z	serp	$0.0020	adhd tool
2026-09-25T15:09:59Z	nejro	$0.0900	42 ключей
2026-09-25T15:10:48Z	serp	$0.0020	binaural beats
2026-09-25T17:09:31Z	suggest	$0.0240	productivity
2026-09-25T17:09:35Z	prod	$0.0900	46 ключей
2026-09-25T17:10:03Z	suggest	$0.0240	adhd
2026-09-25T17:24:39Z	rabota	$0.0900	50 ключей
2026-09-25T17:40:39Z	serp	$0.0020	brown noise for studying
2026-09-25T17:40:48Z	serp	$0.0020	deep focus music
2026-09-25T17:40:54Z	serp	$0.0020	focus sounds
2026-09-25T17:41:32Z	intent2	$0.0127	6 ключей
2026-09-25T17:41:32Z	kd	$0.0127	6 ключей
2026-09-25T17:42:26Z	dinamika	$0.0900	19 ключей, 4 года
2026-09-25T18:41:09Z	ambient	$0.0900	41 ключей, 4 года
2026-09-25T18:44:57Z	shum	$0.0900	77 ключей, 4 года
2026-09-25T19:33:35Z	serp	$0.0020	focus music
2026-09-25T19:33:40Z	serp	$0.0020	ambient music
2026-09-25T19:33:44Z	serp	$0.0020	ambient noise
2026-09-25T19:33:48Z	serp	$0.0020	white noise for studying
2026-09-25T19:33:52Z	serp	$0.0020	ambient sounds
2026-09-25T19:33:59Z	serp	$0.0020	study noise
2026-09-25T20:05:22Z	serp	$0.0020	ambient noise generator
2026-09-25T20:05:28Z	serp	$0.0020	white noise for focus
2026-09-26T07:10:44Z	cveta	$0.0900	21 ключей, 4 года
2026-09-26T07:11:11Z	serp	$0.0020	sound generator
2026-09-26T07:11:53Z	suggest	$0.0216	noise timer
2026-09-26T07:11:54Z	suggest	$0.0240	sound timer
2026-09-26T07:31:30Z	maskirovka	$0.0900	43 ключей, 4 года
2026-09-26T07:36:21Z	sostoyaniya	$0.0900	40 ключей, 4 года
2026-09-26T07:36:48Z	serp	$0.0020	noise cancelling app
2026-09-26T07:36:53Z	serp	$0.0020	sound therapy app
2026-09-26T07:42:03Z	terapiya	$0.0900	33 ключей, 4 года
2026-09-26T07:54:25Z	serp	$0.0020	sound healing
2026-09-26T07:54:29Z	serp	$0.0020	healing frequencies
2026-09-26T07:54:36Z	serp	$0.0020	432 hz
2026-09-26T07:54:41Z	serp	$0.0020	sound therapy
2026-09-26T07:54:46Z	serp	$0.0020	sound bath
2026-09-26T08:23:43Z	muzyka_shum	$0.0900	22 ключей
